"g","mY","gY","mU","kD","gU","b","bs","mUs"
0.77607,0.125,0.3213,113.8106,31.1339,0.0024699,0.937549,10.426465,NA
0.51847,0.125,2.4511,154.0102,48.6566,0.0009063,1.034458,9.34732,NA
0.81505,0.125,9.5219,171.2566,25.7864,0.0049861,0.559043,1.890185,NA
0.15482,0.125,2.9559,172.5086,65.0093,0.0058453,0.304516,13.74329,NA
0.30202,0.125,2.8627,106.5274,30.5909,0.0011449,0.693085,9.990425,NA
0.0566,0.125,1.8361,52.5934,4.4963,0.0028347,0.434231,10.23165,NA
0.27456,0.125,9.8518,43.493,98.9564,0.0037932,0.630485,10.0027,NA
0.12262,0.125,7.8602,28.9528,53.8229,0.004872,0.093787,12.28378,NA
0.61727,0.125,1.6232,92.6176,37.2772,0.0043067,0.965257,1.14232,NA
0.46017,0.125,6.8565,126.4822,52.5843,0.0050383,0.476338,13.20093,NA
0.88688,0.125,8.4371,78.3314,33.8297,0.0014391,0.81217,0.605465,NA
0.03954,0.125,7.3304,71.0048,82.2009,0.008268,1.077092,4.575575,NA
0.44702,0.125,3.2564,80.9046,38.4515,0.0019833,0.541865,4.543005,NA
0.44236,0.125,9.4906,146.72,5.747,0.0077504,0.206222,5.110805,NA
0.73554,0.125,6.0251,123.0284,74.3276,0.005496,0.150147,12.8279,NA
0.63951,0.125,2.6333,70.042,21.6122,0.0036947,0.395957,8.65894,NA
0.6381,0.125,9.5639,4.1152,74.605,0.0020583,0.578542,9.472065,NA
0.02927,0.125,7.2622,163.1572,50.6115,0.000402,0.845629,12.795345,NA
0.95871,0.125,2.0888,116.52,1.6879,0.0012784,0.692514,14.71892,NA
0.46095,0.125,6.129,181.4202,16.3818,0.0028892,0.272855,14.74736,NA
0.6448,0.125,4.3035,113.8406,19.6257,0.0036847,0.807591,2.013585,NA
0.42972,0.125,3.8024,76.5494,53.2054,0.0061138,0.365397,4.59355,NA
0.21705,0.125,5.0254,44.406,90.1306,0.0087085,0.326493,14.46264,NA
0.43763,0.125,6.9811,74.4718,43.2454,0.0059305,0.30698,3.3914,NA
0.45619,0.125,9.2634,22.7472,36.7994,0.0044916,0.302257,6.97105,NA
0.93935,0.125,4.1031,114.1982,43.1911,0.0040251,0.954325,0.254185,NA
0.74307,0.125,8.4408,197.0228,39.6185,0.0088892,0.347176,12.925815,NA
0.2729,0.125,9.1849,39.3544,16.5806,0.0089709,0.4148,10.08688,NA
0.35566,0.125,4.1765,25.5576,69.6747,0.0009922,0.60509,4.24321,NA
0.34557,0.125,5.3674,45.3306,7.2085,0.0052616,0.238988,12.009225,NA
0.90362,0.125,0.1043,33.3724,25.3242,0.0016334,0.605429,12.633755,NA
0.91808,0.125,1.038,41.0846,76.8979,0.0017644,0.757892,2.009365,NA
0.52205,0.125,8.2101,43.5606,12.3044,0.0090884,0.211862,5.316865,NA
0.51986,0.125,3.1258,2.7162,61.0394,0.0066514,1.06319,1.977575,NA
0.09026,0.125,2.8923,175.5466,0.9582,0.0084708,0.875489,11.64707,NA
0.96643,0.125,0.6416,45.606,72.674,0.0039301,0.794168,6.75902,NA
0.23171,0.125,4.2468,96.8256,87.0219,0.0056417,0.473005,5.98878,NA
0.29483,0.125,5.8846,7.5264,42.7978,0.0032553,0.278027,12.564805,NA
0.35632,0.125,2.1531,109.6706,40.0385,0.0073202,0.707399,5.55088,NA
0.1212,0.125,1.2503,103.4422,7.081,0.0063791,0.354692,12.011875,NA
0.55131,0.125,6.3542,49.8296,72.4473,0.000403,0.939742,6.837115,NA
0.45068,0.125,8.051,187.419,68.3058,0.0070601,0.461155,9.363035,NA
0.69528,0.125,3.9171,179.5972,63.4007,0.0005065,0.82632,10.71746,NA
0.48674,0.125,3.0287,43.4518,23.6829,0.0034907,0.390371,3.140525,NA
0.16678,0.125,4.2853,75.8768,34.305,0.0020891,0.532877,7.9794,NA
0.7419,0.125,0.2943,100.6168,88.9815,0.0060039,0.248594,11.21692,NA
0.73611,0.125,6.446,146.3376,80.4031,0.0024874,0.114058,9.84295,NA
0.8356,0.125,4.2494,41.2222,35.3318,0.0042631,0.540664,7.823515,NA
0.33929,0.125,7.4951,52.0386,52.5705,0.0067176,0.760558,0.41429,NA
0.38414,0.125,8.9196,191.4212,1.6922,0.0057094,0.352181,14.28274,NA
0.71187,0.125,0.3366,98.8798,56.022,0.009904,0.41474,0.15287,NA
0.21371,0.125,1.969,12.8058,1.9047,0.0038093,0.397589,9.54797,NA
0.39273,0.125,5.0964,188.7702,11.4997,0.0018392,0.018592,3.35508,NA
0.84813,0.125,2.0997,180.634,88.6479,0.0088427,0.260071,1.04032,NA
0.27286,0.125,6.6799,66.2228,53.1934,0.0093394,0.306291,5.675595,NA
0.91472,0.125,7.7447,119.9228,67.1697,0.0003141,0.006735,14.8561,NA
0.35023,0.125,1.418,55.664,32.8659,0.0022641,0.934664,1.06449,NA
0.96607,0.125,6.8472,35.797,58.8284,0.0084621,0.183452,8.0606,NA
0.97088,0.125,3.1122,84.646,84.2741,0.0061761,0.83904,10.40169,NA
0.8446,0.125,6.0586,104.1612,85.269,0.0016407,0.622328,7.872415,NA
0.81715,0.125,3.1328,0.5042,55.6008,0.0026389,0.288478,1.499005,NA
0.7215,0.125,6.7049,87.7994,51.1663,0.0077831,0.939285,8.05206,NA
0.63125,0.125,2.5974,21.5498,34.651,0.0077545,0.786739,10.0803,NA
0.31222,0.125,5.3226,58.255,48.4209,0.0006663,0.699348,5.49663,NA
0.03586,0.125,5.2343,89.0744,1.5076,0.00222,0.992773,7.105405,NA
0.14433,0.125,4.0813,44.0562,46.1226,0.0085903,0.334728,6.547115,NA
0.60719,0.125,0.2001,57.8056,37.2681,0.0008955,0.668854,7.329835,NA
0.18601,0.125,3.8076,63.0884,49.4969,0.0063871,0.57663,4.449185,NA
0.2107,0.125,1.048,139.0616,43.7451,0.0004477,0.543713,13.11526,NA
0.20177,0.125,5.5197,59.1158,6.39,0.0029866,0.160311,10.6701,NA
0.85196,0.125,1.7446,160.2778,80.8665,0.0088672,0.155311,15.19389,NA
0.45604,0.125,1.3758,65.2156,49.8971,0.0063248,0.633747,9.74279,NA
0.92573,0.125,5.982,44.8968,74.3557,0.0098047,0.646043,9.417675,NA
0.92465,0.125,5.1615,48.8654,16.1707,0.0083692,0.349067,2.015675,NA
0.48227,0.125,7.3434,166.0008,50.0539,0.0042284,0.159117,10.744775,NA
0.0883,0.125,7.3236,8.4356,8.2185,0.0008197,0.997485,9.31064,NA
0.92263,0.125,8.4559,118.5262,15.8043,0.0091617,0.125839,9.79725,NA
0.7766,0.125,6.5195,118.3286,79.9945,0.000437,0.248263,6.165755,NA
0.58417,0.125,0.8915,32.63,59.4171,0.0075184,0.966586,14.03856,NA
0.45014,0.125,1.8164,196.0438,62.2616,0.0087374,1.0318,12.822345,NA
0.05643,0.125,4.9506,97.588,20.95,0.0061386,0.684664,7.252255,NA
0.71887,0.125,8.2631,179.7812,69.4204,0.0065344,0.918675,6.01356,NA
0.17545,0.125,3.9756,39.158,58.1252,0.0015014,0.746728,7.718065,NA
0.08375,0.125,4.783,107.9846,37.8068,0.007841,0.912601,6.834385,NA
0.40848,0.125,8.8712,6.4054,11.9402,0.0050038,0.97247,12.24051,NA
0.65782,0.125,1.8589,110.239,31.3267,0.0017751,0.234871,5.83377,NA
0.23007,0.125,1.4711,150.8884,62.2593,0.0005463,0.131704,6.334475,NA
0.52328,0.125,1.5842,194.9848,50.6692,0.0089063,0.435558,0.478865,NA
0.89969,0.125,5.3553,118.1956,83.347,0.0014799,0.054939,3.64007,NA
0.04517,0.125,4.3257,4.8014,23.6847,0.0059122,0.670168,15.44279,NA
0.76908,0.125,2.4403,161.9476,10.6282,0.0007976,0.358544,0.638035,NA
0.31997,0.125,0.8022,39.744,76.4046,0.0007959,0.693712,9.79896,NA
0.42933,0.125,9.6008,79.896,20.8383,0.0079014,0.587917,6.47295,NA
0.06375,0.125,4.3598,3.7734,84.0856,0.0071742,0.89171,12.41891,NA
0.95186,0.125,7.155,101.7712,92.9021,0.0002131,0.290958,13.78872,NA
0.4277,0.125,5.1607,52.6168,94.1265,0.0065515,0.434417,14.697835,NA
0.6414,0.125,9.0396,196.4488,0.4678,0.0043116,0.71343,11.08909,NA
0.51893,0.125,0.9162,101.5778,41.2052,0.0007104,0.261965,1.11969,NA
0.458,0.125,3.6466,139.8936,3.8079,0.0062517,0.631511,2.29282,NA
0.19406,0.125,1.1447,60.852,10.6974,0.0035098,0.420565,1.67653,NA
0.19516,0.125,2.0216,123.5896,8.3999,0.0074959,0.861156,8.260625,NA
0.50572,0.125,7.6565,92.2708,58.6132,0.0015129,0.364669,5.388185,NA
0.24049,0.125,8.6046,63.8526,88.025,0.0088962,0.480247,10.910345,NA
0.58544,0.125,3.8281,185.4232,33.7203,0.0059486,0.342454,0.02044,NA
0.3921,0.125,3.4282,123.2778,79.3161,0.0067411,0.644251,2.93661,NA
0.67149,0.125,5.756,66.2122,83.4321,0.0046906,0.992463,11.72214,NA
0.83246,0.125,0.8275,138.9372,75.0426,0.0007909,0.46676,13.273665,NA
0.1198,0.125,3.6531,192.428,20.5642,0.0045803,0.687215,1.964295,NA
0.78957,0.125,6.4955,124.3072,67.0646,0.0062192,0.268864,8.665605,NA
0.22458,0.125,6.1092,66.7482,81.3073,0.0041596,1.079787,9.501365,NA
0.24412,0.125,5.0175,147.6936,23.5801,0.0015388,0.274706,9.507235,NA
0.29626,0.125,4.4771,86.4318,89.3737,0.0005756,0.133481,14.38438,NA
0.23976,0.125,6.3799,176.633,65.3568,0.0019902,0.398708,14.14078,NA
0.50698,0.125,0.227,38.053,14.1456,0.0015097,0.241404,10.531305,NA
0.42227,0.125,4.9757,99.596,85.8787,0.0061078,1.064056,6.905425,NA
0.13882,0.125,5.269,36.2442,19.8743,0.0034211,0.438415,4.506195,NA
0.1724,0.125,0.1537,184.0436,86.9927,0.0021668,0.078668,2.258275,NA
0.7575,0.125,8.6378,63.8928,7.1369,0.0053211,0.427153,8.82527,NA
0.11535,0.125,9.208,137.269,2.8267,0.0089983,0.958745,12.60832,NA
0.20556,0.125,0.1114,151.3508,55.2041,0.0040772,1.00873,2.22946,NA
0.97994,0.125,0.0957,65.2646,28.0897,0.0069783,0.542702,8.84981,NA
0.36794,0.125,6.8465,43.4988,38.82,0.000219,0.505101,6.626905,NA
0.02526,0.125,2.7585,66.9612,64.0572,0.0077393,0.602605,13.48139,NA
0.52808,0.125,3.5093,163.5748,44.7256,0.0054638,0.472266,13.405685,NA
0.92208,0.125,7.7067,80.4484,87.068,0.008078,0.422248,3.015675,NA
0.89495,0.125,4.4327,176.1206,30.0737,0.0037902,0.315222,8.58274,NA
0.33702,0.125,3.4162,103.7668,19.5276,0.0099091,0.011739,5.69977,NA
0.10387,0.125,7.8966,8.3162,79.5563,0.0041299,0.028412,12.38323,NA
0.04191,0.125,4.9086,88.3224,40.5679,0.0040092,0.12174,6.68379,NA
0.35467,0.125,6.4867,126.4868,45.0214,0.0093657,0.282294,1.89218,NA
0.46741,0.125,3.2795,131.4498,90.3411,0.0021187,0.817125,11.77838,NA
0.91197,0.125,3.4026,188.0146,0.1317,0.0082514,0.38697,1.378685,NA
0.26422,0.125,2.9709,14.3468,0.9357,0.0015824,0.069062,12.44135,NA
0.48311,0.125,8.9689,57.3184,99.8301,0.0003862,0.015297,5.034775,NA
0.09447,0.125,2.6046,163.557,82.4619,0.0033838,0.422035,4.777735,NA
0.00079,0.125,9.8626,154.915,19.9195,0.0089566,0.618546,5.290415,NA
0.14482,0.125,3.8496,153.1952,21.5442,0.0097056,0.009872,5.407385,NA
0.40181,0.125,2.7911,143.9488,63.3178,0.0064385,0.242143,1.64925,NA
0.78914,0.125,6.8303,64.7908,63.1749,0.008795,0.314295,10.756235,NA
0.87651,0.125,7.5536,194.5066,24.855,0.0077879,0.625017,10.228075,NA
0.42499,0.125,6.6502,150.769,81.0011,0.007925,0.57389,5.43201,NA
0.50019,0.125,5.6562,53.0294,7.9941,0.0043191,0.02485,12.854475,NA
0.29002,0.125,9.8479,2.3478,94.5711,0.0063104,0.013257,0.92152,NA
0.78646,0.125,9.2143,74.3584,73.5234,0.0050199,0.917855,7.65162,NA
0.71382,0.125,8.4413,11.5572,16.9473,0.0027575,0.063104,10.90927,NA
0.18557,0.125,1.8857,26.7146,69.0497,0.0069498,1.035468,0.235435,NA
0.88624,0.125,4.1812,18.8496,57.6515,0.0076744,0.535786,0.227365,NA
0.22012,0.125,4.8688,5.6184,15.9753,0.0091685,0.877171,2.50096,NA
0.53142,0.125,6.2165,21.4798,69.6517,0.0005257,0.81312,5.833805,NA
0.20098,0.125,2.1659,141.9604,72.7406,0.004292,0.23004,10.104925,NA
0.0105,0.125,0.7285,199.4872,77.8953,0.0089543,0.235744,7.603745,NA
0.30791,0.125,8.0429,181.717,73.6721,0.0040052,0.359166,6.0626,NA
0.18122,0.125,7.9141,36.8098,7.7005,0.0025093,0.091806,0.78138,NA
0.99872,0.125,2.962,193.178,88.6766,0.0070675,1.016133,8.60927,NA
0.76403,0.125,6.997,44.0172,70.698,0.0057583,0.313916,5.241795,NA
0.85422,0.125,4.1773,111.344,11.2601,0.0086996,1.07775,8.329395,NA
0.91764,0.125,7.4852,199.0192,20.4404,0.0062527,0.443673,8.231585,NA
0.53126,0.125,7.7656,171.252,78.2487,0.0038139,0.15376,12.807495,NA
0.47419,0.125,1.8535,0.2994,88.2344,0.0021276,0.506879,8.027895,NA
0.27784,0.125,2.7103,138.134,93.1806,0.0096563,0.994393,14.52423,NA
0.65262,0.125,8.4108,31.0036,82.593,0.0025123,0.236263,0.54931,NA
0.40829,0.125,2.7421,165.398,29.5343,0.0093116,0.101878,15.270825,NA
0.83966,0.125,6.1459,64.902,50.4053,0.001938,1.065826,0.34566,NA
0.55947,0.125,6.7101,40.1746,50.2234,0.0098474,0.890854,5.5037,NA
0.09207,0.125,2.1158,157.5488,56.7127,0.0041339,0.752158,10.21488,NA
0.24477,0.125,2.3279,61.664,27.7649,0.0081038,0.967389,3.78536,NA
0.58059,0.125,5.7124,191.4516,90.4485,0.0081148,0.996396,1.841525,NA
0.17112,0.125,8.9525,139.0734,97.9626,0.0091846,0.531076,3.327355,NA
0.31037,0.125,9.0285,140.6196,24.608,0.0005059,1.061185,13.63808,NA
0.99492,0.125,8.4543,198.9432,46.9805,0.0028081,0.184297,7.845535,NA
0.68331,0.125,2.0769,26.0748,18.7135,0.0042105,0.748169,13.460145,NA
0.36216,0.125,4.3473,128.5428,99.8207,0.0007683,0.635127,3.404365,NA
0.03183,0.125,3.4458,120.7254,5.8382,0.0082247,0.955553,1.471015,NA
0.13525,0.125,5.1751,109.3702,77.9957,0.0012139,0.930845,1.13261,NA
0.97684,0.125,1.1482,78.0852,4.2744,0.0002673,0.158825,0.56402,NA
0.37958,0.125,7.5363,119.8332,65.2518,0.0006456,0.433484,8.07872,NA
0.12472,0.125,1.0211,108.3442,41.9084,0.0033082,0.701403,2.93083,NA
0.03579,0.125,4.5692,68.952,91.6146,0.0041781,1.072094,0.570645,NA
0.95772,0.125,8.2384,52.6746,34.4179,0.0088241,0.222345,13.453325,NA
0.69281,0.125,3.9272,106.2444,44.3089,0.00241,0.279959,7.046495,NA
0.15112,0.125,4.8084,80.1284,94.7897,0.0065321,0.587924,1.754935,NA
0.89684,0.125,4.1002,144.0732,86.5045,0.0074357,0.937739,14.97158,NA
0.41253,0.125,4.1083,176.118,50.7628,0.0001501,0.708834,7.8245,NA
0.71566,0.125,0.1844,51.1672,58.7717,0.0027172,0.61648,4.842975,NA
0.29928,0.125,4.4932,186.2566,31.9947,0.0047586,0.710289,2.56135,NA
0.77341,0.125,2.5108,83.9502,13.4746,0.0046027,0.504408,9.962855,NA
0.65215,0.125,5.0543,16.6512,62.2965,0.0083719,1.035456,8.93416,NA
0.15181,0.125,2.6855,28.7908,56.9265,0.0035926,0.764363,8.858235,NA
0.46753,0.125,9.7075,15.0386,11.2432,0.0016479,0.08931,11.517735,NA
0.61775,0.125,5.2651,149.6496,70.0214,0.0072652,0.098123,1.19899,NA
0.86334,0.125,3.2736,162.1106,28.5698,0.0071596,0.362006,4.188985,NA
0.52464,0.125,7.2346,193.6846,41.8575,0.0019146,0.355855,13.11785,NA
0.41344,0.125,7.3469,169.05,30.1777,0.0093789,0.932013,15.31705,NA
0.81838,0.125,6.3003,7.0364,43.2179,0.0011839,0.693695,11.714075,NA
0.57518,0.125,3.0762,108.9216,39.8299,0.0083299,0.606262,3.130215,NA
0.85787,0.125,1.4,64.2108,2.1343,0.0095775,0.529257,0.329965,NA
0.08676,0.125,3.0495,74.928,98.2036,0.0088772,0.352608,8.484545,NA
0.01143,0.125,5.4481,164.4976,89.3188,0.0007642,0.245064,15.171395,NA
0.82232,0.125,8.168,12.2298,80.6351,0.0004654,0.270075,3.9666,NA
0.7034,0.125,4.5536,120.771,44.0459,0.00877,0.33609,11.646005,NA
0.17642,0.125,9.1919,95.114,15.288,0.0099613,0.802965,2.786165,NA
0.90707,0.125,2.94,198.3706,55.5463,0.0045121,0.645973,12.969555,NA
0.96164,0.125,4.1427,142.2002,36.8167,0.0077905,0.120844,7.365155,NA
0.64343,0.125,5.4041,46.4164,21.5276,0.0046354,1.001829,0.47921,NA
0.18161,0.125,9.4799,184.7904,15.1933,0.0062523,0.237426,1.360015,NA
0.7583,0.125,8.8784,66.297,30.3506,0.0025162,0.153183,9.58105,NA
0.81272,0.125,7.7432,139.198,90.8017,0.0070663,0.569382,10.71547,NA
0.80532,0.125,9.6459,16.345,14.6705,0.0081468,1.052163,12.02335,NA
0.26799,0.125,3.4808,30.5422,75.9416,0.0077421,1.071925,7.73253,NA
0.67425,0.125,2.0883,143.3908,62.822,0.0053064,1.077575,5.98426,NA
0.15157,0.125,5.9492,79.6548,47.4489,0.0050554,0.436122,14.026445,NA
0.21964,0.125,2.8647,127.5684,18.1936,0.0087865,0.054498,9.72421,NA
0.70915,0.125,7.9712,198.3084,73.4327,0.0017251,0.985439,0.12582,NA
0.32929,0.125,5.5223,93.9686,98.298,0.0089182,0.95566,1.35019,NA
0.88374,0.125,8.8093,62.0336,64.358,0.0090061,0.654812,9.08941,NA
0.22193,0.125,3.8428,127.9868,29.0689,0.00701,0.609224,11.14915,NA
0.26653,0.125,6.0428,133.3858,16.2785,0.0033001,1.056489,1.29738,NA
0.40099,0.125,5.4912,137.7226,62.7081,0.004583,0.519677,6.541235,NA
0.03065,0.125,5.7158,27.8818,69.4146,0.0016201,0.64883,7.236285,NA
0.73867,0.125,3.8945,199.4252,22.6143,0.0093218,0.86677,1.12588,NA
0.13747,0.125,2.2913,178.858,50.5517,0.0022631,0.818059,5.2428,NA
0.12603,0.125,3.7053,28.096,65.6103,0.004203,0.728347,5.557,NA
0.13432,0.125,6.6875,128.4208,89.8945,0.0009204,0.32871,6.873275,NA
0.47986,0.125,6.9665,129.1316,91.1551,6.1e-05,0.962699,15.229165,NA
0.80734,0.125,1.0762,42.6074,34.2219,0.006029,0.833447,12.22386,NA
0.40192,0.125,1.2273,68.388,50.8641,0.0006268,0.233726,14.928405,NA
0.40641,0.125,9.3062,123.216,41.2789,0.0094261,0.088943,0.68937,NA
0.09923,0.125,4.032,112.5146,4.6441,0.0005817,0.017403,4.703165,NA
0.97434,0.125,9.5021,184.8218,97.5171,0.001675,0.62371,14.61627,NA
0.08809,0.125,2.7449,2.0982,20.7106,0.0081581,0.243929,3.138795,NA
0.10336,0.125,0.644,86.541,89.7747,0.0040221,0.323061,15.06232,NA
0.13312,0.125,5.8632,25.2418,57.2949,0.0060029,0.531946,4.45134,NA
0.30924,0.125,0.3831,160.021,62.268,0.0078699,0.568063,12.455755,NA
0.94975,0.125,1.8547,121.0124,36.7118,0.0020109,0.671269,1.028115,NA
0.50453,0.125,9.7879,150.1888,53.3206,0.0021952,1.01305,11.48492,NA
0.55108,0.125,1.6064,174.9374,98.1758,0.0081542,0.358668,15.206215,NA
0.79841,0.125,4.0995,98.549,57.4757,0.0045901,0.69389,2.832785,NA
0.91283,0.125,6.6614,58.9542,66.2158,0.0033824,0.97211,5.742855,NA
0.68023,0.125,5.7933,7.261,34.8406,0.0078648,0.769007,5.30598,NA
0.31814,0.125,2.8877,180.4946,30.4354,0.0018044,1.052165,2.079355,NA
0.78049,0.125,0.1597,181.14,32.0934,0.0081181,0.681759,3.716085,NA
0.03104,0.125,4.0166,127.4706,81.1418,0.0002894,0.774027,8.078495,NA
0.88647,0.125,3.3337,46.5116,50.7876,0.0036147,0.242621,7.3708,NA
